study_id,author,year,enrich_status,enrich_doi,corpus_doi,corpus_title,corpus_journal,corpus_year,n_candidates,title_overlap,match_confidence,agrees_enrich
S126,"Schmuck, Lagerström & Sallis",2022,doi_mismatch_check,10.1111/1540-8520.271003,10.1007/s11575-022-00464-3,Turning the Tables: The Relationship Between Performance and Multinationality,Management International Review,2022,1,0.18,candidate_unique,no
S127,"Bhandari, Zámborský, Ranta & Salo",2023,doi_mismatch_check,10.1016/j.ibusrev.2010.02.003,10.1016/j.intman.2022.100927,Internationalization of R&amp;D and Innovation Performance in the Pharma Industry,Journal of International Management,2022,2,0.44,candidate_multi,no
S128,Kafouros et al.,2023,author_year_guess,10.1111/jpim.12623,,,,,0,,no_corpus_match,no
S129,"Freixanet, Renart & Segarra-Blasco",2022,doi_mismatch_check,10.3390/jrfm12030144,10.1002/gsj.1412,"Disentangling the relationship between internationalization, incremental and radical innovation, and firm performance",Global Strategy Journal,2021,2,0.36,candidate_multi,no
S130,"Shin, Kim & Seol",2022,doi_mismatch_check,10.1080/00472778.2021.1955124,10.35611/jkt.2021.25.7.1,Degree of Internationalization and Performance of High-tech Small and Mediumsized Enterprises: Evidence from Korea,Journal of Korea Trade,2021,2,0.17,candidate_multi,no
S131,Dobbs & Hamilton,2007,doi_mismatch_check,10.1016/j.gfj.2022.100753,,,,,0,,no_corpus_match,no
S132,Almodovar & Rugman,2014,not_found,,,,,,0,,no_corpus_match,no
S133,"Lin, Liu & Cheng",2011,doi_mismatch_check,10.1007/s40821-024-00276-5,10.1016/j.intman.2010.12.004,The internationalization and performance of a firm: Moderating effect of a firm's behavior,Journal of International Management,2011,6,0.5,candidate_multi,no
S134,Pinheiro-Alves,2011,not_found,,,,,,0,,no_corpus_match,no
S135,Guo et al.,2020,doi_mismatch_check,10.1007/s10668-026-07324-2,10.5465/ambpp.2019.14007abstract,The Technological Competence Creation of EMNCs: Key Mechanisms and Innovative Performance,Academy of Management Proceedings,2019,2,0.27,candidate_multi,no
S136,"Hitt, Hoskisson & Kim",1997,doi_mismatch_check,10.2478/foli-2025-0014,,,,,0,,no_corpus_match,no
S137,Gomes & Ramaswamy,1999,not_found,,,,,,0,,no_corpus_match,no
S138,Tallman & Li,1996,author_year_guess,10.2307/40157567,10.2307/256635,EFFECTS OF INTERNATIONAL DIVERSITY AND PRODUCT DIVERSITY ON THE PERFORMANCE OF MULTINATIONAL FIRMS.,Academy of Management Journal,1996,2,0.0,candidate_multi,no
S139,"Aulakh, Kotabe & Teegen",2000,author_year_guess,,,,,,0,,no_corpus_match,no
S140,"Kotabe, Srinivasan & Aulakh",2002,author_year_guess,,,,,,0,,no_corpus_match,no
S141,"Denis, Denis & Yost",2002,not_found,,,,,,0,,no_corpus_match,no
S142,Gomez-Mejia & Palich,1997,not_found,,,,,,0,,no_corpus_match,no
S143,Chang & Wang,2007,not_found,,10.1057/palgrave.abm.9200228,"International Expansion Path, Speed, Product Diversification and Performance Among Emerging-Market MNEs: Evidence from Asia-Pacific Multinational Companies",Asian Business & Management,2007,1,0.0,candidate_unique,no
S144,Pangarkar,2008,author_year_guess,10.1159/000325530,10.1016/j.jwb.2007.11.009,Internationalization and performance of small- and medium-sized enterprises,Journal of World Business,2007,1,0.0,candidate_unique,no
S145,"Zahra, Ireland & Hitt",2000,author_year_guess,10.5465/amr.2000.3363324,,,,,0,,no_corpus_match,no
S146,Oh & Contractor,2012,author_year_guess,10.5194/acp-12-1541-2012,10.1007/s10290-012-0145-y,Using export market performance to evaluate regional preferential policies in China,Review of World Economics,2013,7,0.0,candidate_multi,no
S147,"Qian, Li, Li & Qian",2008,author_year_guess,10.1103/physrevlett.101.089704,,,,,0,,no_corpus_match,no
S148,Elango & Pattnaik,2007,author_year_guess,10.1016/j.niox.2006.01.008,10.1108/1525383x200600002,An Empirical Analysis of the Internationalization‐Performance Relationship Across Emerging Market Firms,Multinational Business Review,2006,1,0.0,candidate_unique,no
S149,Filatotchev & Piesse,2009,author_year_guess,10.1016/j.ibusrev.2010.01.005,10.1016/j.ibusrev.2010.01.005,Integrating contemporary finance and international business research,International Business Review,2010,1,0.0,confirmed_crosscheck,yes
S150,"Geringer, Tallman & Olsen",2000,not_found,,,,,,0,,no_corpus_match,no
S151,Michel & Shaked,1986,author_year_guess,10.2307/2026493,,,,,0,,no_corpus_match,no
S152,Morck & Yeung,1991,not_found,,,,,,0,,no_corpus_match,no
S153,Wan & Hoskisson,2003,author_year_guess,10.1016/j.jep.2004.04.008,,,,,0,,no_corpus_match,no
S154,"Yiu, Lau & Bruton",2007,author_year_guess,10.1109/tem.2007.900784,10.1057/palgrave.jibs.8400364,The performance implications of relationship banking during macroeconomic expansion and contraction: a study of Japanese banks' social relationships and overseas expansion,Journal of International Business Studies,2008,1,0.0,candidate_unique,no
S155,"Luo, Zhao & Du",2005,author_year_guess,10.1109/tie.2004.825344,,,,,0,,no_corpus_match,no
S156,"Bobillo, López-Iturriaga & Tejerina-Gaite",2010,author_year_guess,10.1182/blood-2009-07-231449,,,,,0,,no_corpus_match,no
S157,Boehe & Cruz,2010,author_year_guess,10.1590/s1413-23112011000100004,,,,,0,,no_corpus_match,no
S158,Singh & Gaur,2009,author_year_guess,,10.1002/tie.20217,Internationalization and performance of Indian pharmaceutical firms,Thunderbird International Business Review,2008,2,0.0,candidate_multi,no
