study_id,wos_id,authors,year,title,journal,screen_l1,screen_l1_reason,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type
S1966,001381763600001,"Brahmana, Rayenda Khresna; Kontesa, Maria; Setiawan, Doddy",2025,Does digital transformation matter for international diversification? The role of product market competition,CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,UNSURE,title_insufficient,Y,INCL:geo-diversification,,geographic_diversification,
S1969,001389236400001,"Jalali, Hossein S.",2025,Reframing government support for SMEs' performance in international market: the critical role of institutional context,ASIA-PACIFIC JOURNAL OF BUSINESS ADMINISTRATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1970,001390805800001,"Elgharabawy, Adel; Aladwey, Laila Mohamed Alshawadfy",2025,"ESG performance, board diversity and tax avoidance: empirical evidence from the UK",JOURNAL OF FINANCIAL REPORTING AND ACCOUNTING,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,1,,
S1972,001391891000001,"Ranasinghe, Udish Chalana; Ennis, Sean Forrest; Monteiro, Januario; Malagueno, Ricardo",2025,"Global value chains, trade facilitation and the use of environmental management practices in SMEs",INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,1,,
S1973,001391942600001,"Garrab, Mehdi Younes",2025,"Dynamic capabilities, ordinary capabilities and international intensity contributions to performance",REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1974,001392784000013,"Kiessling, Timothy; Dabic, Marina; Yadav, Sandeep; Huck, Nicolas; Maley, Jane F.",2025,Supply Chain Disruptions and Need for Resilience: SMEs Direct/Indirect Exporting and Rapid Internationalization,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,UNSURE,title_insufficient,Y,INCL:internationalization|exporter,,other,
S1975,001395771800001,"Ul Ain, Qurat; Javaid, Hafiz Mustansar; Cafaro, Emanuela Mattia; D'Alessio, Raffaele",2025,Navigating international waters: the board's role in enhancing intellectual capital efficiency,INTERNATIONAL JOURNAL OF EMERGING MARKETS,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1976,001405310600001,"Zhang, Hongmei; Xing, Mu; Chen, Dong",2025,Can the Succession Plan for Family Business Achieve Social Employment Stability? An Analysis from the Perspective of Entrepreneurs,ECONOMIES,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1977,001406401500001,"Kaur, Navjot; Singh, Balwinder",2025,Unveiling Determinants of Resource Allocation to R&D and Advertising: Insights from Indian Manufacturing Companies,GLOBAL BUSINESS REVIEW,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1982,001413249300001,"Chen, Xuchang; Wu, Changqi; Xie, Xuanli",2025,Foreign ownership and corporate litigation risk,JOURNAL OF BUSINESS RESEARCH,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
