"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"FSTSc",1.0810320136708,0.633081746869075,1.70757097170638,0.0888445781125139,-0.15980821019259,2.32187223753419,283,0.120630748936421,"VNM2015_exp","M4"
"FSTScsq",-2.87299905974149,0.814323934970748,-3.52807885948323,0.00049039786215339,-4.46907397228416,-1.27692414719883,283,0.120630748936421,"VNM2015_exp","M4"
"TCI",-0.139821618121167,0.366679720910997,-0.381318109912889,0.703261656947571,-0.858513871106722,0.578870634864387,283,0.120630748936421,"VNM2015_exp","M4"
"lnEmp",-0.121436445065376,0.0508538876737258,-2.38794811213848,0.0176179459287704,-0.221110064905879,-0.0217628252248734,283,0.120630748936421,"VNM2015_exp","M4"
"firmage",-0.365499082830372,0.230530138237019,-1.58547201518,0.114008332149422,-0.81733815377493,0.0863399881141859,283,0.120630748936421,"VNM2015_exp","M4"
"foreign",0.158410945106016,0.197069372475824,0.803833407068108,0.422187480289381,-0.2278450249466,0.544666915158632,283,0.120630748936421,"VNM2015_exp","M4"
"FSTSc:TCI",0.300301339724579,0.678454533721957,0.442625592133854,0.658384514106506,-1.02946954637046,1.63007222581962,283,0.120630748936421,"VNM2015_exp","M4"
"(Intercept)",23.4934156365747,0.838573761018121,28.015920278797,1.04773722413368e-76,21.8498110649791,25.1370202081702,240,0.159722563992015,"VNM2023_exp","M2"
"FSTSc",0.985009826094187,0.989047302235642,0.995917812896988,0.320318814740255,-0.953522886287671,2.92354253847605,240,0.159722563992015,"VNM2023_exp","M2"
"FSTScsq",-2.40430816675363,1.18778496302438,-2.02419481774857,0.0440864462544306,-4.73236669428142,-0.0762496392258387,240,0.159722563992015,"VNM2023_exp","M2"
"lnEmp",-0.250326780081408,0.0585944893081501,-4.2721898089244,2.81695816602774e-05,-0.365171979125383,-0.135481581037434,240,0.159722563992015,"VNM2023_exp","M2"
"firmage",-0.813667825375613,0.37384508183608,-2.17648396330216,0.0305196947616623,-1.54640418577433,-0.0809314649768957,240,0.159722563992015,"VNM2023_exp","M2"
"foreign",0.574825280497664,0.16538221514838,3.47573818612803,0.000607059138374697,0.25067613880684,0.898974422188487,240,0.159722563992015,"VNM2023_exp","M2"
"(Intercept)",23.2250906175728,0.808093054199119,28.7406140875577,2.12392079812432e-78,21.6412282313425,24.808953003803,240,0.191759543971414,"VNM2023_exp","M4"
"FSTSc",1.08958633614191,1.0347600954878,1.0529844945637,0.293443550278394,-0.938543451014182,3.11771612329801,240,0.191759543971414,"VNM2023_exp","M4"
"FSTScsq",-2.17627149363018,1.22956024043931,-1.76995922774196,0.0780473780469518,-4.58620956489123,0.233666577630873,240,0.191759543971414,"VNM2023_exp","M4"
"TCI",1.35541659207119,0.551705634908517,2.45677496532357,0.0147526854448726,0.274073547650497,2.43675963649188,240,0.191759543971414,"VNM2023_exp","M4"
"lnEmp",-0.267731993749325,0.0580529448559918,-4.61185895760277,6.59738366189371e-06,-0.381515765667069,-0.153948221831581,240,0.191759543971414,"VNM2023_exp","M4"
"firmage",-0.795311357907714,0.363270533251784,-2.18930875231898,0.029571411966793,-1.50732160308121,-0.0833011127342168,240,0.191759543971414,"VNM2023_exp","M4"
"foreign",0.502664209973128,0.165023123131906,3.04602288717649,0.00258701908347551,0.179218888634593,0.826109531311663,240,0.191759543971414,"VNM2023_exp","M4"
"FSTSc:TCI",-0.910620322921219,0.885178717951533,-1.02874177208933,0.304672364578269,-2.64557061010622,0.824329964263784,240,0.191759543971414,"VNM2023_exp","M4"
