economy,year,lp,fsts,tci,dai,lnsize,tci_z,dai_z,fc,fc2
Fiji,2009,11.06663836234181,0.0,0.0,0.0,1.6094379124341003,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.129933212714123,0.0,0.0,0.0,2.3978952727983707,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.085809109330082,0.0,1.0,0.0,1.6094379124341003,2.5624745269878693,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.330603908176274,0.0,1.0,0.0,1.791759469228055,2.5624745269878693,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.388995368317829,0.0,0.0,1.0,2.995732273553991,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.646456857594751,0.0,0.0,0.0,2.6390573296152584,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.235340843301046,0.0,0.0,0.0,3.4339872044851463,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.615805480084347,0.0,0.0,0.0,1.791759469228055,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.695247021764184,0.0,0.0,1.0,1.6094379124341003,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,8.930038406822025,0.0,1.0,0.0,2.8903717578961645,2.5624745269878693,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,13.122363377404328,0.0,0.5,1.0,5.703782474656201,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,8.294049640102028,0.7,0.0,1.0,4.0943445622221,-0.532015902330636,1.186329104554967,0.6377818371607515,0.4067656718121434
Fiji,2025,10.819778284410283,0.3,0.0,0.0,4.605170185988092,-0.532015902330636,-0.8425683184703314,0.23778183716075155,0.056540202083542164
Fiji,2025,12.968212697577071,0.05,0.0,1.0,1.9459101490553132,-0.532015902330636,1.186329104554967,-0.012218162839248432,0.0001492835031663913
Fiji,2025,12.275065517017126,0.0,0.0,1.0,2.6390573296152584,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,7.669895331029034,0.05,0.0,0.0,2.6390573296152584,-0.532015902330636,-0.8425683184703314,-0.012218162839248432,0.0001492835031663913
Fiji,2025,9.567015315914915,0.7,0.0,0.0,4.941642422609304,-0.532015902330636,-0.8425683184703314,0.6377818371607515,0.4067656718121434
Fiji,2025,10.906789661399912,0.1,0.5,1.0,3.091042453358316,1.0152293123286167,1.186329104554967,0.03778183716075157,0.0014274672192415483
Fiji,2025,10.747457622830657,0.0,0.0,1.0,5.3706380281276624,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
