"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"FSTSc",3.36871292648624,0.564851937431228,5.96388664577501,4.15215286392597e-09,2.26160312912103,4.47582272385145,623,0.210419971549462,"SGP2023_full","M3"
"FSTScsq",-2.40518064277527,0.855457746435961,-2.81157152740252,0.00508691564335678,-4.08187782578975,-0.728483459760786,623,0.210419971549462,"SGP2023_full","M3"
"TCI",0.838740018181657,0.200700289083048,4.17906731481884,3.3508068760298e-05,0.445367451578884,1.23211258478443,623,0.210419971549462,"SGP2023_full","M3"
"lnEmp",-0.184800228469093,0.0374881367331906,-4.92956557922169,1.06093134775806e-06,-0.258276976466146,-0.111323480472039,623,0.210419971549462,"SGP2023_full","M3"
"firm_age",0.165663504888948,0.108740432811009,1.52347660025293,0.128152697679954,-0.0474677434206289,0.378794753198526,623,0.210419971549462,"SGP2023_full","M3"
"foreign",0.267417873403033,0.0884541102415138,3.02323852077511,0.00260480925362094,0.0940478173296656,0.4407879294764,623,0.210419971549462,"SGP2023_full","M3"
"(Intercept)",11.5035398816585,0.233944463937374,49.1720970355508,2.91277366499985e-215,11.0450087323412,11.9620710309757,623,0.210745143165019,"SGP2023_full","M4"
"FSTSc",3.42465494598086,0.577666512704263,5.92842906878716,5.09959683971244e-09,2.29242858108051,4.55688131088122,623,0.210745143165019,"SGP2023_full","M4"
"FSTScsq",-2.32362649738032,0.905643195405244,-2.56571960035606,0.0105320228351413,-4.0986871603746,-0.548565834386046,623,0.210745143165019,"SGP2023_full","M4"
"TCI",0.853394207329814,0.19758859787695,4.31904581792353,1.82670177056181e-05,0.466120555490993,1.24066785916863,623,0.210745143165019,"SGP2023_full","M4"
"lnEmp",-0.185571685643209,0.037374245362738,-4.96522896561875,8.89960423345015e-07,-0.258825206554175,-0.112318164732242,623,0.210745143165019,"SGP2023_full","M4"
"firm_age",0.164322577435115,0.108741064911909,1.51113636387719,0.131267341906499,-0.0488099097922258,0.377455064662457,623,0.210745143165019,"SGP2023_full","M4"
"foreign",0.263912072372518,0.0892934258207396,2.95555994124733,0.00324053060438451,0.0888969577638686,0.438927186981168,623,0.210745143165019,"SGP2023_full","M4"
