country,year,region,icrv_group,icrv_label,firm_id,ln_labor_prod,n3_sales_raw,l1_workers_raw,fsts,exporter,fsts_pct,dai_website,dai_epay,dai_epay_pct,dai_z,tci_cert,tci_foreign_tech,tci_z,mgr_experience,mgr_female,female_owner,foreign_own_pct,firm_age,size_strata,ln_size,isic_sector,legal_status,wstrict,wmedian
China,2024,East Asia,3,Upper_mid,1511723,12.716898269296165,5000000.0,15.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,1.0,0.0,0.5189468355689744,20.0,0.0,1.0,,12.0,13.0,2.70805020110221,2,2,783.313232421875,6242.48779296875
China,2024,East Asia,3,Upper_mid,1511724,13.004580341747946,4000000.0,9.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,30.0,0.0,0.0,,21.0,5.0,2.1972245773362196,1,2,677.29931640625,3548.411865234375
China,2024,East Asia,3,Upper_mid,1511725,13.527828485512494,15000000.0,20.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,37.0,0.0,0.0,,8.0,10.0,2.995732273553991,2,2,807.7847290039062,3922.872314453125
China,2024,East Asia,3,Upper_mid,1511726,14.103192630416055,8000000.0,6.0,0.0,0,0.0,0.0,1.0,90.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,20.0,0.0,1.0,,6.0,10.0,1.791759469228055,1,2,866.1012573242188,7605.83837890625
China,2024,East Asia,3,Upper_mid,1511727,,,7.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,6.0,1.0,1.0,,5.0,12.0,1.9459101490553132,1,2,610.3313598632812,7076.90576171875
China,2024,East Asia,3,Upper_mid,1511728,14.034199758929104,56000000.0,45.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,12.0,0.0,0.0,,4.0,12.0,3.8066624897703196,4,2,135.0619659423828,874.747802734375
China,2024,East Asia,3,Upper_mid,1511729,12.206072645530174,4000000.0,20.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,30.0,0.0,1.0,,5.0,12.0,2.995732273553991,1,2,610.3313598632812,7076.90576171875
China,2024,East Asia,3,Upper_mid,1511730,12.206072645530174,2000000.0,10.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,10.0,1.0,1.0,,4.0,10.0,2.302585092994046,1,2,866.1012573242188,7605.83837890625
China,2024,East Asia,3,Upper_mid,1511731,,,70.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,15.0,0.0,0.0,,1.0,2.0,4.248495242049359,2,2,219.14476013183594,1052.48876953125
China,2024,East Asia,3,Upper_mid,1511732,,,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,30.0,0.0,1.0,,3.0,12.0,1.6094379124341003,3,2,144.2570037841797,1027.2591552734375
China,2024,East Asia,3,Upper_mid,1511733,,,3.0,0.9,1,90.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,17.0,0.0,0.0,,1.0,10.0,1.0986122886681098,1,2,866.1012573242188,7605.83837890625
China,2024,East Asia,3,Upper_mid,1511734,,,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,5.0,0.0,0.0,,1.0,12.0,1.6094379124341003,3,3,144.2570037841797,1027.2591552734375
China,2024,East Asia,3,Upper_mid,1511735,11.80060753742201,2000000.0,15.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,25.0,0.0,1.0,,11.0,12.0,2.70805020110221,1,2,610.3313598632812,7076.90576171875
China,2024,East Asia,3,Upper_mid,1511736,11.952292124754074,4500000.0,29.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,55.0,0.0,1.0,,31.0,1.0,3.367295829986474,2,2,228.17483520507812,966.0032348632812
China,2024,East Asia,3,Upper_mid,1511737,10.41431317630212,500000.0,15.0,0.8,1,80.0,1.0,1.0,100.0,0.6684759527978941,1.0,0.0,0.5189468355689744,10.0,1.0,1.0,,7.0,6.0,2.70805020110221,1,2,488.8896789550781,2033.416015625
China,2024,East Asia,3,Upper_mid,1511738,,,30.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,15.0,0.0,1.0,,7.0,9.0,3.4011973816621555,1,2,605.8439331054688,4253.060546875
China,2024,East Asia,3,Upper_mid,1511739,,,10.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,4.0,0.0,0.0,,2.0,6.0,2.302585092994046,1,2,488.8896789550781,2033.416015625
China,2024,East Asia,3,Upper_mid,1511740,,,30.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,1.0,0.0,0.5189468355689744,11.0,0.0,0.0,,2.0,14.0,3.4011973816621555,1,2,618.2953491210938,7151.3486328125
China,2024,East Asia,3,Upper_mid,1511741,12.676076274775909,1600000.0,5.0,0.0,0,0.0,0.0,1.0,99.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,32.0,0.0,0.0,,3.0,9.0,1.6094379124341003,1,2,605.8439331054688,4253.060546875
China,2024,East Asia,3,Upper_mid,1511742,12.516227573834014,15000000.0,55.0,0.0,0,0.0,1.0,1.0,95.0,0.6684759527978941,1.0,0.0,0.5189468355689744,15.0,0.0,1.0,,5.0,10.0,4.007333185232471,1,2,866.1012573242188,7605.83837890625
China,2024,East Asia,3,Upper_mid,1511743,,,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,9.0,0.0,0.0,,1.0,10.0,1.6094379124341003,1,2,866.1012573242188,7605.83837890625
China,2024,East Asia,3,Upper_mid,1511744,11.082142548877775,650000.0,10.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,15.0,0.0,0.0,,3.0,2.0,2.302585092994046,1,2,214.43601989746094,1862.31884765625
